,nombre,marca,precio,color,talla,categoria
0,Vestido Salima,Ladypipa,"129,95",Nenúfar caldera,XXS,midi
1,Vestido Salima,Ladypipa,"129,95",Nenúfar caldera,XS,midi
2,Vestido Salima,Ladypipa,"129,95",Nenúfar caldera,S,midi
3,Vestido Salima,Ladypipa,"129,95",Nenúfar caldera,M,midi
4,Vestido Salima,Ladypipa,"129,95",Nenúfar caldera,L,midi
5,Vestido Salima,Ladypipa,"129,95",Nenúfar caldera,XL,midi
6,Vestido Salima,Ladypipa,"129,95",Nenúfar caldera,3XL,midi
7,Vestido Salima,Ladypipa,"169,95",Nenúfar negro,XXS,midi
8,Vestido Salima,Ladypipa,"169,95",Nenúfar negro,XS,midi
9,Vestido Salima,Ladypipa,"169,95",Nenúfar negro,S,midi
10,Vestido Salima,Ladypipa,"169,95",Nenúfar negro,M,midi
11,Vestido Salima,Ladypipa,"169,95",Nenúfar negro,L,midi
12,Vestido Salima,Ladypipa,"169,95",Nenúfar negro,XL,midi
13,Vestido Salima,Ladypipa,"169,95",Nenúfar negro,XXL,midi
14,Vestido Salima,Ladypipa,"169,95",Nenúfar negro,3XL,midi
15,Vestido Salima,Ladypipa,"169,95",Nenúfar negro,4XL,midi
16,Vestido Salima,Ladypipa,"169,95",Nenúfar negro,5XL,midi
17,Vestido Tokyo,Ladypipa,"169,95",Manila verde,XXS,midi
18,Vestido Tokyo,Ladypipa,"169,95",Manila verde,XS,midi
19,Vestido Tokyo,Ladypipa,"169,95",Manila verde,S,midi
20,Vestido Tokyo,Ladypipa,"169,95",Manila verde,M,midi
21,Vestido Tokyo,Ladypipa,"169,95",Manila verde,L,midi
22,Vestido Tokyo,Ladypipa,"169,95",Manila verde,XL,midi
23,Vestido Tokyo,Ladypipa,"169,95",Marino,XXS,midi
24,Vestido Tokyo,Ladypipa,"169,95",Marino,XS,midi
25,Vestido Tokyo,Ladypipa,"169,95",Marino,S,midi
26,Vestido Tokyo,Ladypipa,"169,95",Marino,M,midi
27,Vestido Tokyo,Ladypipa,"169,95",Marino,L,midi
28,Vestido Tokyo,Ladypipa,"169,95",Marino,5XL,midi
29,Vestido Siracusa,Ladypipa,"169,95",Marino,XXS,largo
30,Vestido Siracusa,Ladypipa,"169,95",Marino,XS,largo
31,Vestido Siracusa,Ladypipa,"169,95",Marino,S,largo
32,Vestido Siracusa,Ladypipa,"169,95",Marino,M,largo
33,Vestido Siracusa,Ladypipa,"169,95",Marino,L,largo
34,Vestido Siracusa,Ladypipa,"169,95",Marino,XL,largo
35,Vestido Siracusa,Ladypipa,"169,95",Marino,XXL,largo
36,Vestido Siracusa,Ladypipa,"169,95",Marino,3XL,largo
37,Vestido Siracusa,Ladypipa,"169,95",Marino,4XL,largo
38,Vestido Siracusa,Ladypipa,"169,95",Marino,5XL,largo
39,Vestido Shiva,Ladypipa,"179,95",Aceite,XXS,largo
40,Vestido Shiva,Ladypipa,"179,95",Aceite,XS,largo
41,Vestido Shiva,Ladypipa,"179,95",Aceite,S,largo
42,Vestido Shiva,Ladypipa,"179,95",Aceite,M,largo
43,Vestido Shiva,Ladypipa,"179,95",Aceite,L,largo
44,Vestido Shiva,Ladypipa,"179,95",Aceite,5XL,largo
45,Vestido Shiva,Ladypipa,"129,95",Melón,XXS,largo
46,Vestido Shiva,Ladypipa,"129,95",Melón,XS,largo
47,Vestido Shiva,Ladypipa,"129,95",Melón,S,largo
48,Vestido Shiva,Ladypipa,"129,95",Melón,M,largo
49,Vestido Mila,Ladypipa,"169,95",Sakura,XXS,midi
50,Vestido Mila,Ladypipa,"169,95",Sakura,XS,midi
51,Vestido Mila,Ladypipa,"169,95",Sakura,S,midi
52,Vestido Mila,Ladypipa,"169,95",Sakura,M,midi
53,Vestido Mila,Ladypipa,"169,95",Sakura,L,midi
54,Vestido Eclipse,Ladypipa,"99,95",Morado,XXL,largo
55,Vestido Eclipse,Ladypipa,"99,95",Morado,3XL,largo
56,Vestido Eclipse,Ladypipa,"99,95",Negro,XXL,largo
57,Vestido Eclipse,Ladypipa,"99,95",Negro,3XL,largo
58,Vestido Eclipse,Ladypipa,"129,95",Caldera,XXS,largo
59,Vestido Eclipse,Ladypipa,"129,95",Caldera,XS,largo
60,Vestido Eclipse,Ladypipa,"129,95",Caldera,S,largo
61,Vestido Eclipse,Ladypipa,"129,95",Caldera,M,largo
62,Vestido Eclipse,Ladypipa,"129,95",Caldera,L,largo
63,Vestido Eclipse,Ladypipa,"129,95",Caldera,XL,largo
64,Vestido Eclipse,Ladypipa,"129,95",Caldera,XXL,largo
65,Vestido Eclipse,Ladypipa,"129,95",Caldera,3XL,largo
